,Time,Station,Temperature
446,1963-11-01,NOVOLAZAREVSK,-15.7
447,1963-11-01,MOLODEZNAJA,-15.3
448,1963-11-01,VOSTOK,-58.0
449,1963-11-01,MCMURDO,-20.0
450,1963-12-01,AMUNDSEN-SCOT,-40.2
451,1963-12-01,HALLEY,-13.8
452,1963-12-01,ROTHERA POINT,0.1
453,1963-12-01,NOVOLAZAREVSK,-8.2
454,1963-12-01,MOLODEZNAJA,-7.6
455,1963-12-01,MCMURDO,-8.6
456,1964-01-01,AMUNDSEN-SCOT,-26.5
457,1964-01-01,HALLEY,-6.9
458,1964-01-01,ROTHERA POINT,3.3
459,1964-01-01,NOVOLAZAREVSK,-0.9
460,1964-01-01,MOLODEZNAJA,-1.6
461,1964-01-01,VOSTOK,-33.4
462,1964-01-01,MCMURDO,-3.8
463,1964-02-01,AMUNDSEN-SCOT,-28.1
464,1964-02-01,HALLEY,-6.6
465,1964-02-01,ROTHERA POINT,3.6
466,1964-02-01,NOVOLAZAREVSK,-0.7
467,1964-02-01,MOLODEZNAJA,-0.7
468,1964-02-01,VOSTOK,-28.2
469,1964-02-01,MCMURDO,-4.6
470,1964-03-01,AMUNDSEN-SCOT,-41.5
471,1964-03-01,HALLEY,-11.1
472,1964-03-01,ROTHERA POINT,2.6
473,1964-03-01,NOVOLAZAREVSK,-3.8
474,1964-03-01,MOLODEZNAJA,-5.4
475,1964-03-01,VOSTOK,-46.2
476,1964-03-01,MCMURDO,-11.2
477,1964-04-01,AMUNDSEN-SCOT,-52.0
478,1964-04-01,HALLEY,-17.4
479,1964-04-01,ROTHERA POINT,0.3
480,1964-04-01,NOVOLAZAREVSK,-9.6
481,1964-04-01,MOLODEZNAJA,-8.2
482,1964-04-01,VOSTOK,-61.1
483,1964-05-01,AMUNDSEN-SCOT,-60.0
484,1964-05-01,HALLEY,-26.2
485,1964-05-01,ROTHERA POINT,-5.1
486,1964-05-01,NOVOLAZAREVSK,-13.0
487,1964-05-01,MOLODEZNAJA,-11.3
488,1964-05-01,VOSTOK,-69.4
489,1964-05-01,MCMURDO,-19.4
490,1964-06-01,AMUNDSEN-SCOT,-60.8
491,1964-06-01,ROTHERA POINT,-6.9
